#     FILENAME=Skynet_58800_messier_31_43924_53537.A.onoff.cal.txt
#     BASENAME=Skynet_58800_messier_31_43924_53537
#      CONTROL=SKYNET
#     PROJCODE=Skynet_58800_messier_31_43924
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#     SRC_NAME=messier_31
#     OBSERVER=haverford2_26746
#     DATE_OBS=2019-11-13T01:37:46.860
#        OBSID=43924
#      SCANNUM=53537
#     SCANNAME=2019_11_10_20:25:25
#          MJD=58800.0679035
#          UTC=05867
#     SCANTYPE=onoff
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8800,
# Actual_FREQ2=1390.6300
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.9999
#         TBIN=0.00419430
#     DURATION=444.00
#     EXPOSURE=401.98
#        FOCUS=36.851
#       RA,DEC=00:42:59.56, 41:16:07.48
#      RA(deg)=12.66557
#     DEC(deg)=41.26871
#   WIDTH(deg)=3.0161x0.0044
#    AZIM(deg)=70.6292
#    ELEV(deg)=77.6697
#     COORDREF=RA_DEC_
#         HREF=10.6846
#         VREF=41.2687
#     IFattens=5.00, 0.00
#   BALANCELEV=1.2 
#       ACCLEN=2048 
#      WARNING=None 
#         TSYS=XX1:57.29, YY1:29.15
#         TSYS=XX2:59.42, YY2:38.63
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.14, YY2:9.87
# Calibrated spectra: Tsys*(ON-OFF)/OFF 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91430       0.2346      -0.0424    1397.66430       0.1023      -0.0817
   1428.89904       0.1912      -0.0514    1397.64904       0.0484      -0.0685
   1428.88378       0.2317      -0.0391    1397.63378       0.1432      -0.0094
   1428.86853       0.2207      -0.0218    1397.61853       0.0786      -0.0522
   1428.85327       0.1968      -0.0951    1397.60327       0.0477      -0.0483
   1428.83801       0.2880      -0.0045    1397.58801       0.1128      -0.0460
   1428.82275       0.1664      -0.0439    1397.57275       0.0185      -0.0316
   1428.80749       0.2118      -0.0146    1397.55749       0.0408      -0.0538
   1428.79223       0.1725      -0.0628    1397.54223       0.0937      -0.0524
   1428.77697       0.2381      -0.0502    1397.52697       0.0514      -0.0514
   1428.76171       0.2176      -0.0282    1397.51171       0.0265      -0.0667
   1428.74646       0.2400      -0.0712    1397.49646       0.0840      -0.0447
   1428.73120       0.1936      -0.0362    1397.48120       0.0544       0.0049
   1428.71594       0.2212      -0.0321    1397.46594       0.0999      -0.0932
   1428.70068       0.2579      -0.0360    1397.45068       0.0081      -0.0804
   1428.68542       0.2443      -0.0220    1397.43542       0.0835      -0.0738
   1428.67016       0.2712      -0.0452    1397.42016       0.0909      -0.1105
   1428.65490       0.2337      -0.0409    1397.40490       0.0300      -0.0454
   1428.63964       0.2329      -0.0168    1397.38964       0.1139      -0.0269
   1428.62438       0.2343      -0.0376    1397.37438       0.0408      -0.0278
   1428.60913       0.3061      -0.0910    1397.35913       0.0818      -0.0524
   1428.59387       0.1995      -0.0071    1397.34387       0.0419      -0.0308
   1428.57861       0.2071      -0.0693    1397.32861       0.1576      -0.0223
   1428.56335       0.1905      -0.0347    1397.31335      -0.0196      -0.0377
